step,loss,val_loss,lr,tok_per_sec,grad_norm,elapsed_sec,tokens_seen,step_ms
880,1.321381,,2.05e-04,459910,0.9124,632.9,112022208,570.0
890,1.395341,,2.03e-04,414003,0.7605,639.7,113376352,633.2
900,1.554759,,2.01e-04,256151,0.5804,646.2,114665632,1023.4
910,1.428402,,1.99e-04,411490,0.6784,653.1,116030592,637.1
920,1.213807,,1.97e-04,466794,0.6341,659.5,117302656,561.6
930,1.203101,,1.95e-04,449896,0.6546,666.0,118585472,582.7
940,1.230221,,1.93e-04,450812,0.6527,672.5,119873696,581.5
950,1.304833,,1.91e-04,705163,1.1458,678.7,121094400,371.7
960,1.24543,,1.89e-04,446183,0.6892,685.3,122402560,587.5
970,1.259273,,1.87e-04,413734,0.6302,691.4,123623424,633.6
980,1.363046,,1.85e-04,292920,0.5406,698.5,125030848,894.9
990,1.197966,,1.83e-04,475490,0.7433,705.1,126335872,551.3
1000,1.194583,,1.80e-04,461022,0.6537,710.9,127468704,568.6
1000,,1.393528,,,,,,
1010,1.148195,,1.78e-04,493943,0.7264,734.9,128553376,530.7
1020,1.39972,,1.76e-04,364254,0.8547,741.4,129812928,719.7
1030,1.256404,,1.74e-04,412847,0.5928,747.9,131096160,635.0
1040,1.267042,,1.72e-04,359818,0.56,754.4,132366432,728.5
1050,1.272339,,1.70e-04,313720,0.5491,761.2,133653440,835.6
1060,1.048582,,1.68e-04,473698,0.5953,767.5,134902208,553.4
1070,1.139299,,1.66e-04,445009,0.6045,774.1,136234656,589.1
1080,1.231966,,1.64e-04,329587,0.5433,781.0,137620576,795.4
1090,0.950193,,1.62e-04,434825,0.5051,787.3,138888448,602.9
1100,1.137064,,1.60e-04,360731,0.5695,794.3,140294848,726.7
1110,1.09341,,1.57e-04,439581,0.724,801.1,141652352,596.3
1120,1.102055,,1.55e-04,401050,0.5636,808.1,143035584,653.6
1130,1.043757,,1.53e-04,434069,0.6083,814.5,144314144,603.9
1140,1.151811,,1.51e-04,354479,0.5793,821.3,145667420,739.5
1150,1.116512,,1.49e-04,424355,0.5816,827.1,146815740,617.7
1160,1.128457,,1.47e-04,356014,0.4956,833.5,148084700,736.3
1170,1.108282,,1.45e-04,409465,0.6226,840.1,149402204,640.2
1180,1.009822,,1.43e-04,468848,0.6391,846.6,150698844,559.1
1190,1.059922,,1.41e-04,441303,0.6684,852.7,151883932,594.0
1200,1.091191,,1.39e-04,405004,0.551,858.3,152961756,647.3
1200,,1.372642,,,,,,
1210,0.929145,,1.37e-04,542022,0.6034,882.8,154275100,483.6
1220,1.059985,,1.35e-04,507761,0.6439,888.8,155473372,516.3
1230,1.246108,,1.33e-04,333438,0.5282,895.7,156868124,786.2
1240,1.074372,,1.31e-04,405142,0.6553,902.1,158140124,647.0
1250,1.057251,,1.29e-04,401904,0.6624,908.0,159305212,652.3
1260,0.99627,,1.27e-04,531099,0.61,914.0,160471260,493.6
1270,1.165483,,1.25e-04,363133,0.585,920.9,161870940,721.9
1280,0.980962,,1.23e-04,526483,0.6145,927.4,163171260,497.9
1290,1.170932,,1.21e-04,344512,0.4859,933.7,164421916,760.9
1300,1.138242,,1.19e-04,377983,0.5758,939.9,165632380,693.5
1310,1.183507,,1.17e-04,363968,0.5364,946.2,166877916,720.2
1320,1.148207,,1.15e-04,341510,0.4806,952.9,168229308,767.6
1330,1.14668,,1.13e-04,385402,0.7032,960.1,169692348,680.2
1340,1.040849,,1.11e-04,472931,0.579,966.9,171055228,554.3
1350,0.968245,,1.09e-04,478167,0.6393,972.6,172167132,548.2
1360,1.072772,,1.07e-04,424559,0.6272,978.6,173331516,617.5
1370,1.030258,,1.05e-04,455770,0.7319,984.6,174518940,575.2
1380,1.190518,,1.03e-04,316660,0.4553,990.4,175621660,827.8
1390,1.077763,,1.01e-04,473971,0.7815,996.7,176891228,553.1
1400,1.094502,,9.96e-05,408094,0.5948,1003.5,178267228,642.4
1400,,1.347771,,,,,,
1410,1.049671,,9.77e-05,432408,0.5376,1029.4,179587804,606.2
1420,1.159932,,9.59e-05,340422,0.6664,1035.6,180808732,770.1
1430,1.252224,,9.41e-05,316907,0.5175,1042.1,182100220,827.2
1440,1.156538,,9.24e-05,342240,0.4586,1049.0,183495516,766.0
1450,0.95365,,9.06e-05,465669,0.5321,1055.6,184818556,562.9
1460,0.990285,,8.89e-05,534529,0.6284,1061.3,185947516,490.4
1470,1.091503,,8.71e-05,394464,0.5861,1067.2,187106428,664.6
1480,0.997606,,8.54e-05,476159,0.682,1073.3,188318652,550.5
1490,1.113951,,8.38e-05,434167,0.677,1080.2,189691100,603.8
1500,1.085723,,8.21e-05,438334,0.6021,1086.8,191025724,598.0
1510,1.109534,,8.05e-05,366547,0.5168,1093.9,192462076,715.2
1520,1.15765,,7.88e-05,314946,0.4316,1100.6,193798300,832.3
1530,1.015988,,7.72e-05,479963,0.6183,1107.2,195125116,546.2
1540,1.014476,,7.56e-05,423573,0.5377,1113.0,196250012,618.9
1550,1.006394,,7.41e-05,435437,0.5638,1119.1,197438492,602.0
1560,1.069199,,7.25e-05,432038,0.6525,1125.1,198644668,606.8
1570,1.032744,,7.10e-05,429484,0.5056,1131.5,199895772,610.4
1580,1.206457,,6.95e-05,323516,0.4972,1137.9,201178172,810.3
1590,0.866104,,6.81e-05,803884,0.7509,1144.1,202382588,326.1
1600,1.113616,,6.66e-05,392939,0.7229,1151.0,203772668,667.1
1600,,1.328343,,,,,,
1610,1.058631,,6.52e-05,410534,0.5849,1175.0,204917596,638.5
1620,0.914637,,6.38e-05,558278,0.7486,1181.2,206141532,469.6
1630,0.951224,,6.24e-05,659495,0.6536,1186.8,207239804,397.5
1640,1.053974,,6.11e-05,421897,0.5413,1193.2,208518908,621.3
1650,0.952209,,5.98e-05,493318,0.5729,1199.4,209732860,531.4
1660,1.080622,,5.85e-05,350509,0.4682,1206.2,211099804,747.9
1670,1.048663,,5.72e-05,384451,0.6139,1212.6,212385596,681.9
1680,0.960735,,5.59e-05,501788,0.5983,1218.6,213565948,522.4
1690,1.112194,,5.47e-05,350319,0.5191,1224.7,214762204,748.3
1700,1.003264,,5.35e-05,407681,0.5121,1231.1,216030780,643.0
1710,1.060231,,5.23e-05,426678,0.5748,1237.0,217180700,614.4
1720,1.057361,,5.12e-05,385502,0.5577,1243.5,218474748,680.0
1730,1.154843,,5.01e-05,365010,0.5613,1250.2,219806524,718.2
1740,1.10897,,4.90e-05,376081,0.4944,1256.7,221098076,697.0
1750,1.172716,,4.79e-05,330879,0.6429,1263.2,222367836,792.3
1760,1.250315,,4.69e-05,294016,0.4907,1269.6,223638684,891.6
1770,1.058584,,4.59e-05,411518,0.4945,1276.3,224966236,637.0
1780,1.008942,,4.49e-05,457945,0.5741,1282.7,226233500,572.4
1790,1.255095,,4.40e-05,293478,0.4528,1289.2,227537564,893.2
1800,1.039678,,4.31e-05,439215,0.6245,1295.5,228779836,596.8
1800,,1.316665,,,,,,
1810,0.85167,,4.22e-05,709344,0.745,1318.9,230077116,369.6
1820,1.008525,,4.13e-05,373371,0.5005,1325.5,231392668,702.1
1830,0.799076,,4.05e-05,666237,0.6327,1332.1,232695804,393.5
1840,1.119221,,3.97e-05,346532,0.4756,1338.1,233873564,756.5
1850,1.099241,,3.90e-05,400338,0.6182,1344.1,235066140,654.8
1860,1.01939,,3.82e-05,386192,0.5044,1350.1,236235100,678.8
1870,1.207364,,3.75e-05,335184,0.6601,1356.9,237605020,782.1
1880,1.251389,,3.68e-05,309255,0.5332,1363.3,238866908,847.7
1890,1.061473,,3.62e-05,460495,0.6034,1370.5,240320220,569.3
1900,0.988378,,3.56e-05,459488,0.5623,1376.8,241585884,570.5
1910,1.051661,,3.50e-05,440543,0.5728,1383.6,242954076,595.0
