step,loss,val_loss,lr,tok_per_sec,grad_norm,elapsed_sec,tokens_seen,step_ms
830,3.18222,,0.000249,399718.0,0.2698,581.7,217841664.0,655.8
840,3.095208,,0.000252,399003.0,0.6393,588.3,220463104.0,657.0
850,3.11426,,0.000255,400024.0,0.2635,594.8,223084544.0,655.3
860,3.109796,,0.000258,399105.0,0.2631,601.4,225705984.0,656.8
870,3.096763,,0.000261,399811.0,0.2511,608.0,228327424.0,655.7
880,3.063627,,0.000264,399389.0,0.2575,614.5,230948864.0,656.4
890,3.130038,,0.000267,398943.0,0.3618,621.1,233570304.0,657.1
900,3.016009,,0.00027,399190.0,0.2781,627.7,236191744.0,656.7
910,3.037808,,0.000273,401719.0,0.2411,634.2,238813184.0,652.6
920,3.09189,,0.000276,400659.0,0.2637,640.8,241434624.0,654.3
930,2.968942,,0.000279,399338.0,0.2373,647.3,244056064.0,656.4
940,3.096399,,0.000282,402702.0,0.2337,653.9,246677504.0,651.0
950,3.014425,,0.000285,401295.0,0.2517,660.4,249298944.0,653.2
960,2.945349,,0.000288,402191.0,0.2289,667.0,251920384.0,651.8
970,3.012521,,0.000291,400111.0,0.2283,673.5,254541824.0,655.2
980,2.966051,,0.000294,400377.0,0.2332,680.1,257163264.0,654.7
990,3.069259,,0.000297,401714.0,0.2474,686.6,259784704.0,652.6
1000,2.9494,,0.0003,400639.0,0.2578,693.2,262406144.0,654.3
1010,2.91255,,0.000303,402659.0,0.2158,715.8,265027584.0,651.0
1020,2.987388,,0.000306,399671.0,0.2176,722.3,267649024.0,655.9
1030,2.976828,,0.000309,399920.0,0.218,728.9,270270464.0,655.5
1040,2.951063,,0.000312,401350.0,0.2387,735.4,272891904.0,653.2
1050,2.918326,,0.000315,400248.0,0.2125,742.0,275513344.0,655.0
1060,2.915643,,0.000318,401305.0,0.2253,748.5,278134784.0,653.2
1070,2.857714,,0.000321,399242.0,0.21,755.1,280756224.0,656.6
1080,2.87663,,0.000324,396918.0,0.21,761.6,283377664.0,660.4
1090,2.899058,,0.000327,399811.0,0.2059,768.2,285999104.0,655.7
1100,2.895665,,0.00033,399077.0,0.2003,774.7,288620544.0,656.9
1110,2.748061,,0.000333,399948.0,0.1875,781.3,291241984.0,655.4
1120,2.845928,,0.000336,399311.0,0.2296,787.8,293863424.0,656.5
1130,2.779237,,0.000339,400781.0,0.1996,794.4,296484864.0,654.1
1140,2.880717,,0.000342,402376.0,0.1967,800.9,299106304.0,651.5
